audio_path,duration_in_sec,duration_in_min,title,sr,vocal_path
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Megan Thee Stallion - Captain Hook [Official Video].wav,184,3:04,Megan Thee Stallion - Captain Hook [Official Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Megan_Thee_Stallion_Captain_Hook_Official_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo) (Official Music Video).wav",226,3:46,"Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo) (Official Music Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Major_Lazer_Know_No_Better_feat_Travis_Scott_Camila_Cabello_Quavo_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cardi B - Up [Official Music Video].wav,170,2:50,Cardi B - Up [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cardi_B_Up_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/m.A.A.d city.wav,350,5:50,m.A.A.d city,48000,/scratch/fc2355/separated_rap/htdemucs_ft/mAAd_city/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Beanz and Flawless Real Talk Battle it Out on Rhythm + Flow ｜ Netflix.wav,175,2:55,Beanz and Flawless Real Talk Battle it Out on Rhythm + Flow | Netflix,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Beanz_and_Flawless_Real_Talk_Battle_it_Out_on_Rhythm_Flow_Netflix/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Missy Elliott - Get Ur Freak On [Official Music Video].wav,245,4:05,Missy Elliott - Get Ur Freak On [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Missy_Elliott_Get_Ur_Freak_On_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Snoop Dogg - Gin And Juice.wav,264,4:24,Snoop Dogg - Gin And Juice,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Snoop_Dogg_Gin_And_Juice/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/J Hus - Did You See (Official Video).wav,182,3:02,J Hus - Did You See (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/J_Hus_Did_You_See_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Gucci Mane - Lemonade (Official Music Video).wav,250,4:10,Gucci Mane - Lemonade (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Gucci_Mane_Lemonade_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/De La Soul - Me Myself and I (With Intro) (Official Music Video) [HD].wav,236,3:56,De La Soul - Me Myself and I (With Intro) (Official Music Video) [HD],48000,/scratch/fc2355/separated_rap/htdemucs_ft/De_La_Soul_Me_Myself_and_I_With_Intro_Official_Music_Video_HD/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Megan Thee Stallion - Big Ole Freak [Official Video].wav,220,3:40,Megan Thee Stallion - Big Ole Freak [Official Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Megan_Thee_Stallion_Big_Ole_Freak_Official_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Baby Keem, Kendrick Lamar - family ties (Official Video).wav",259,4:19,"Baby Keem, Kendrick Lamar - family ties (Official Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Baby_Keem_Kendrick_Lamar_family_ties_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Lauryn Hill - Lost Ones.wav,264,4:24,Lauryn Hill - Lost Ones,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Lauryn_Hill_Lost_Ones/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Kendrick Lamar - For Free？.wav,133,2:13,Kendrick Lamar - For Free?,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Kendrick_Lamar_For_Free/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/AUDREY NUNA - Comic Sans (Official Video) ft. Jack Harlow.wav,151,2:31,AUDREY NUNA - Comic Sans (Official Video) ft. Jack Harlow,48000,/scratch/fc2355/separated_rap/htdemucs_ft/AUDREY_NUNA_Comic_Sans_Official_Video_ft_Jack_Harlow/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Nicki Minaj - Super Bass (Official Video).wav,218,3:38,Nicki Minaj - Super Bass (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Nicki_Minaj_Super_Bass_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/D Smoke & Snoop Dogg - Gaspar Yanga (Official Video).wav,288,4:48,D Smoke & Snoop Dogg - Gaspar Yanga (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/D_Smoke_Snoop_Dogg_Gaspar_Yanga_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Chief Keef - I Don't Like f⧸ Lil Reese.wav,309,5:09,Chief Keef - I Don't Like f/ Lil Reese,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Chief_Keef_I_Dont_Like_f_Lil_Reese/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Superman.wav,350,5:50,Superman,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Superman/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Mac Miller - Best Day Ever.wav,254,4:14,Mac Miller - Best Day Ever,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Mac_Miller_Best_Day_Ever/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/The Coup - Fat Cats, Bigga Fish (Explicit).wav",281,4:41,"The Coup - Fat Cats, Bigga Fish (Explicit)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/The_Coup_Fat_Cats_Bigga_Fish_Explicit/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/The Notorious B.I.G. - Juicy (Official Video) [4K].wav,253,4:13,The Notorious B.I.G. - Juicy (Official Video) [4K],48000,/scratch/fc2355/separated_rap/htdemucs_ft/The_Notorious_BIG_Juicy_Official_Video_4K/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Roxanne Shanté ft. Biz Markie & Grand Daddy I.U. - Dance To This.wav,258,4:18,Roxanne Shanté ft. Biz Markie & Grand Daddy I.U. - Dance To This,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Roxanne_Shante_ft_Biz_Markie_Grand_Daddy_IU_Dance_To_This/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Timothée Chalamet Statistics.wav,153,2:33,Timothée Chalamet Statistics,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Timothee_Chalamet_Statistics/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly.wav",395,6:35,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",48000,/scratch/fc2355/separated_rap/htdemucs_ft/GEazy_No_Limit_REMIX_ft_AAP_Rocky_Cardi_B_French_Montana_Juicy_J_Belly/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk.wav,301,5:01,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Drake_Laugh_Now_Cry_Later_Official_Music_Video_ft_Lil_Durk/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/A Tribe Called Quest - Can I Kick It？ (Official HD Video).wav,235,3:55,A Tribe Called Quest - Can I Kick It? (Official HD Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/A_Tribe_Called_Quest_Can_I_Kick_It_Official_HD_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/King Von - Crazy Story, Pt. 3 (Official Video).wav",193,3:13,"King Von - Crazy Story, Pt. 3 (Official Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/King_Von_Crazy_Story_Pt_3_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Migos - Bad and Boujee ft Lil Uzi Vert [Official Video].wav,335,5:35,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Migos_Bad_and_Boujee_ft_Lil_Uzi_Vert_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/50 Cent - In Da Club (Official Music Video).wav,248,4:08,50 Cent - In Da Club (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/50_Cent_In_Da_Club_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Sexyy Red & Sukihana - Hood Rats (Official Video).wav,366,6:06,Sexyy Red & Sukihana - Hood Rats (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Sexyy_Red_Sukihana_Hood_Rats_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Kendrick Lamar - DNA..wav,286,4:46,Kendrick Lamar - DNA.,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Kendrick_Lamar_DNA/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Lakeyah - Female Goat ft City Girls (Official Video).wav,174,2:54,Lakeyah - Female Goat ft City Girls (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Lakeyah_Female_Goat_ft_City_Girls_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus.wav,157,2:37,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Lil_Nas_X_Old_Town_Road_Official_Video_ft_Billy_Ray_Cyrus/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Get With Da Wickedness (Flow Like That) (Remix).wav,304,5:04,Get With Da Wickedness (Flow Like That) (Remix),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Get_With_Da_Wickedness_Flow_Like_That_Remix/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cuban Doll - Let It Blow ft. Molly Brazy.wav,147,2:27,Cuban Doll - Let It Blow ft. Molly Brazy,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cuban_Doll_Let_It_Blow_ft_Molly_Brazy/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Arizona Zervas - ROXANNE (Official Video).wav,170,2:50,Arizona Zervas - ROXANNE (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Arizona_Zervas_ROXANNE_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Necessary Roughness.wav,286,4:46,Necessary Roughness,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Necessary_Roughness/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Offset - Clout ft. Cardi B (Official Video).wav,214,3:34,Offset - Clout ft. Cardi B (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Offset_Clout_ft_Cardi_B_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Doja Cat - Get Into It (Yuh) (Official Video).wav,148,2:28,Doja Cat - Get Into It (Yuh) (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Doja_Cat_Get_Into_It_Yuh_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Bryn - Juicy Freestyle (Music Video) ｜ @MixtapeMadness.wav,172,2:52,Bryn - Juicy Freestyle (Music Video) | @MixtapeMadness,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Bryn_Juicy_Freestyle_Music_Video_MixtapeMadness/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Foxy Brown - Hot Spot (Official Music Video).wav,233,3:53,Foxy Brown - Hot Spot (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Foxy_Brown_Hot_Spot_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Logic - Wake Up (feat. Lucy Rose) [Official Music Video].wav,178,2:58,Logic - Wake Up (feat. Lucy Rose) [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Logic_Wake_Up_feat_Lucy_Rose_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cardi B ＂Red Barz＂ (WSHH Exclusive - Official Music Video).wav,164,2:44,"Cardi B ""Red Barz"" (WSHH Exclusive - Official Music Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cardi_B_Red_Barz_WSHH_Exclusive_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cuban Doll ＂Bankrupt＂ (WSHH Exclusive - Official Music Video).wav,184,3:04,"Cuban Doll ""Bankrupt"" (WSHH Exclusive - Official Music Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cuban_Doll_Bankrupt_WSHH_Exclusive_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Megan Thee Stallion - HISS [Official Video].wav,195,3:15,Megan Thee Stallion - HISS [Official Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Megan_Thee_Stallion_HISS_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/bbno$ & Rich Brian - edamame (Official Video).wav,141,2:21,bbno$ & Rich Brian - edamame (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/bbno_Rich_Brian_edamame_Official_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Sheff G - No Suburban, Pt. 2 (Official Video Release).wav",154,2:34,"Sheff G - No Suburban, Pt. 2 (Official Video Release)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Sheff_G_No_Suburban_Pt_2_Official_Video_Release/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Rocky Badd ＂Rag Doll＂ (Cuban Doll Diss) (WSHH Exclusive - Official Music Video).wav,226,3:46,"Rocky Badd ""Rag Doll"" (Cuban Doll Diss) (WSHH Exclusive - Official Music Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Rocky_Badd_Rag_Doll_Cuban_Doll_Diss_WSHH_Exclusive_Official_Music_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Video].wav",228,3:48,"Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Video]",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Jack_Harlow_WHATS_POPPIN_feat_Dababy_Tory_Lanez_Lil_Wayne_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Queen Latifah - Ladies First (feat. Monie Love) [Music Video].wav,238,3:58,Queen Latifah - Ladies First (feat. Monie Love) [Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Queen_Latifah_Ladies_First_feat_Monie_Love_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Outkast - Ms. Jackson (Official HD Video).wav,298,4:58,Outkast - Ms. Jackson (Official HD Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Outkast_Ms_Jackson_Official_HD_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Drake, Kanye West, Lil Wayne, Eminem - Forever (Explicit Version) (Official Music Video).wav",373,6:13,"Drake, Kanye West, Lil Wayne, Eminem - Forever (Explicit Version) (Official Music Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Drake_Kanye_West_Lil_Wayne_Eminem_Forever_Explicit_Version_Official_Music_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Calvin Harris - Slide (Official Audio) ft. Frank Ocean, Migos.wav",232,3:52,"Calvin Harris - Slide (Official Audio) ft. Frank Ocean, Migos",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Calvin_Harris_Slide_Official_Audio_ft_Frank_Ocean_Migos/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/EPMD - Da Joint.wav,247,4:07,EPMD - Da Joint,48000,/scratch/fc2355/separated_rap/htdemucs_ft/EPMD_Da_Joint/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Rah Digga ft. Busta Rhymes - Imperial (Official Video) [Explicit].wav,265,4:25,Rah Digga ft. Busta Rhymes - Imperial (Official Video) [Explicit],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Rah_Digga_ft_Busta_Rhymes_Imperial_Official_Video_Explicit/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/GloRilla – Wanna Be feat. Megan Thee Stallion (Official Music Video).wav,159,2:39,GloRilla – Wanna Be feat. Megan Thee Stallion (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/GloRilla_Wanna_Be_feat_Megan_Thee_Stallion_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Jean Grae - My Story (Music Video).wav,322,5:22,Jean Grae - My Story (Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Jean_Grae_My_Story_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Ill Conscious - Ergonomics.wav,207,3:27,Ill Conscious - Ergonomics,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Ill_Conscious_Ergonomics/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Eazy-E - Real Muthaphuckkin G's (Music Video).wav,286,4:46,Eazy-E - Real Muthaphuckkin G's (Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/EazyE_Real_Muthaphuckkin_Gs_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Mos Def - Umi Says.wav,254,4:14,Mos Def - Umi Says,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Mos_Def_Umi_Says/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Little Simz - Gorilla (Official Video).wav,245,4:05,Little Simz - Gorilla (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Little_Simz_Gorilla_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Young M.A ＂OOOUUU＂ (Official Video).wav,301,5:01,"Young M.A ""OOOUUU"" (Official Video)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Young_MA_OOOUUU_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Sho Shot.wav,267,4:27,Sho Shot,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Sho_Shot/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video].wav",257,4:17,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cardi_B_Bad_Bunny_J_Balvin_I_Like_It_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/June Marieezy - Fly (FKJ Remix).wav,252,4:12,June Marieezy - Fly (FKJ Remix),48000,/scratch/fc2355/separated_rap/htdemucs_ft/June_Marieezy_Fly_FKJ_Remix/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Cardi B - Like What (Freestyle)  [Official Music Video].wav,161,2:41,Cardi B - Like What (Freestyle)  [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Cardi_B_Like_What_Freestyle_Official_Music_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Rapsody - Ibtihaj ft. D'Angelo, GZA.wav",315,5:15,"Rapsody - Ibtihaj ft. D'Angelo, GZA",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Rapsody_Ibtihaj_ft_DAngelo_GZA/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Kendrick Lamar - King Kunta.wav,237,3:57,Kendrick Lamar - King Kunta,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Kendrick_Lamar_King_Kunta/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Doja Cat - Paint The Town Red (Official Video).wav,296,4:56,Doja Cat - Paint The Town Red (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Doja_Cat_Paint_The_Town_Red_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Kanye West - Stronger.wav,266,4:26,Kanye West - Stronger,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Kanye_West_Stronger/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Lil Uzi Vert - Just Wanna Rock [Official Music Video].wav,145,2:25,Lil Uzi Vert - Just Wanna Rock [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Lil_Uzi_Vert_Just_Wanna_Rock_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Nas - N.Y. State of Mind (Official Audio).wav,296,4:56,Nas - N.Y. State of Mind (Official Audio),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Nas_NY_State_of_Mind_Official_Audio/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Man I Used To Be.wav,304,5:04,Man I Used To Be,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Man_I_Used_To_Be/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Missy Elliott - The Rain (Supa Dupa Fly) [Official Music Video].wav,253,4:13,Missy Elliott - The Rain (Supa Dupa Fly) [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Missy_Elliott_The_Rain_Supa_Dupa_Fly_Official_Music_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Hitkidd, GloRilla - F.N.F. (Let's Go).wav",154,2:34,"Hitkidd, GloRilla - F.N.F. (Let's Go)",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Hitkidd_GloRilla_FNF_Lets_Go/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/LMFAO - Sexy and I Know It.wav,204,3:24,LMFAO - Sexy and I Know It,48000,/scratch/fc2355/separated_rap/htdemucs_ft/LMFAO_Sexy_and_I_Know_It/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Flawless Real Talk- New Phone Feat. TroyMan.wav,187,3:07,Flawless Real Talk- New Phone Feat. TroyMan,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Flawless_Real_Talk_New_Phone_Feat_TroyMan/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Londynn B Blows Everyone Away with Only One ｜ Rhythm + Flow ｜ Netflix.wav,199,3:19,Londynn B Blows Everyone Away with Only One | Rhythm + Flow | Netflix,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Londynn_B_Blows_Everyone_Away_with_Only_One_Rhythm_Flow_Netflix/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Lil Uzi Vert - XO Tour Llif3 (Official Music Video).wav,256,4:16,Lil Uzi Vert - XO Tour Llif3 (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Lil_Uzi_Vert_XO_Tour_Llif3_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Megan Thee Stallion - Savage [Lyric Video].wav,156,2:36,Megan Thee Stallion - Savage [Lyric Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Megan_Thee_Stallion_Savage_Lyric_Video/vocals.wav
